nursery_id,city,district,institution_name_std,institution_name_aliases,institution_form,operator_name_std,address_std,source_first_id,source_latest_id,inclusive_flag,community_embedded_flag,kindergarten_integrated_flag,medical_integration_flag,delayed_tempcare_flag,price_transparent_flag,teacher_emphasis_flag,chain_brand_flag,registry_evidence_count,geo_status,text_status,review_status
nursery_1e25c95ec53f,南京,,南京德贝保育服务有限公司,,,,江宁区胜太东路179号21世纪培训产业园二楼,NJ_REG_ENTRY_2023_江宁区_GOV_ATT_9E4A7222,NJ_REG_ENTRY_2023_江宁区_GOV_ATT_9E4A7222,,,,,,,,,1,READY_FOR_GEOCODE,PENDING,READY_FOR_GEOCODE
nursery_f369055917d4,南京,,南京宁禾托育有限公司,,托育机构,,南京市江宁区东山街道竹翠路54号102室,NJ_REG_ENTRY_2023_江宁区_GOV_ATT_9E4A7222,NJ_REG_ENTRY_2023_江宁区_GOV_ATT_9E4A7222,,,,,,,,,1,READY_FOR_GEOCODE,PENDING,READY_FOR_GEOCODE
nursery_3999d8920efe,南京,,南京吾家婴幼儿保育有限公司,,,,江宁区双龙大道与兰台街交汇处保乐荟2楼211-215,NJ_REG_ENTRY_2023_江宁区_GOV_ATT_9E4A7222,NJ_REG_ENTRY_2023_江宁区_GOV_ATT_9E4A7222,,,,1,,,,,1,READY_FOR_GEOCODE,PENDING,READY_FOR_GEOCODE
nursery_fa3c9aca2147,南京,,南京安夏蒙氏婴幼儿托育有限公司,,托育机构,,江宁区天元西路88号文化名园3-103,NJ_REG_ENTRY_2023_江宁区_GOV_ATT_9E4A7222,NJ_REG_ENTRY_2023_江宁区_GOV_ATT_9E4A7222,,,,,,,,,1,READY_FOR_GEOCODE,PENDING,READY_FOR_GEOCODE
nursery_14360c712721,南京,,唯思顿零三三(南京)保育服务有限公司,,,,江宁区秣陵街道韩府路8号香山美墅商业街,NJ_REG_ENTRY_2023_江宁区_GOV_ATT_9E4A7222,NJ_REG_ENTRY_2023_江宁区_GOV_ATT_9E4A7222,,,,,,,,,1,READY_FOR_GEOCODE,PENDING,READY_FOR_GEOCODE
nursery_73ffd4ccb3f1,南京,,南京市江宁区博文育儿园,,,,江宁区利源中路88号高尔夫国际花园22栋107室,NJ_REG_ENTRY_2023_江宁区_GOV_ATT_9E4A7222,NJ_REG_ENTRY_2023_江宁区_GOV_ATT_9E4A7222,,,,,,,,,1,READY_FOR_GEOCODE,PENDING,READY_FOR_GEOCODE
nursery_8e5d78722d2e,南京,,南京小象一号婴幼儿保育有限公司,,,,江宁区将军大道33号诗丹名苑10栋101-102号,NJ_REG_ENTRY_2023_江宁区_GOV_ATT_9E4A7222,NJ_REG_ENTRY_2023_江宁区_GOV_ATT_9E4A7222,,,,1,,,,,1,READY_FOR_GEOCODE,PENDING,READY_FOR_GEOCODE
nursery_7de16a643c43,南京,,南京天赋育儿园,,,,江宁区秣陵街道铺岗街28号,NJ_REG_ENTRY_2023_江宁区_GOV_ATT_9E4A7222,NJ_REG_ENTRY_2023_江宁区_GOV_ATT_9E4A7222,,,,,,,,,1,READY_FOR_GEOCODE,PENDING,READY_FOR_GEOCODE
nursery_93e62a51ea37,南京,,南京意蒙家婴幼儿照护服务有限公司,,,,江宁区清水亭东路9号万科金域蓝湾72幢,NJ_REG_ENTRY_2023_江宁区_GOV_ATT_9E4A7222,NJ_REG_ENTRY_2023_江宁区_GOV_ATT_9E4A7222,,,,,,,,,1,READY_FOR_GEOCODE,PENDING,READY_FOR_GEOCODE
nursery_6aa67bf6134d,南京,,南京市江宁区伊童之家保育服务有限公司,,,,江宁区长亭街55号珑湾花园商业01幢101室,NJ_REG_ENTRY_2023_江宁区_GOV_ATT_9E4A7222,NJ_REG_ENTRY_2023_江宁区_GOV_ATT_9E4A7222,,,,,,,,,1,READY_FOR_GEOCODE,PENDING,READY_FOR_GEOCODE
nursery_28629ac70f75,南京,,南京诚基保育服务有限公司,,,,江宁区天元中路128号诚基名苑2幢106室,NJ_REG_ENTRY_2023_江宁区_GOV_ATT_9E4A7222,NJ_REG_ENTRY_2023_江宁区_GOV_ATT_9E4A7222,,,,,,,,,1,READY_FOR_GEOCODE,PENDING,READY_FOR_GEOCODE
nursery_0ac6b63caf50,南京,,南京思奕婴幼儿保育有限公司,,,,江宁区汤山街道汤泉东路43号,NJ_REG_ENTRY_2023_江宁区_GOV_ATT_9E4A7222,NJ_REG_ENTRY_2023_江宁区_GOV_ATT_9E4A7222,,,,1,,,,,1,READY_FOR_GEOCODE,PENDING,READY_FOR_GEOCODE
nursery_bf35caa91e8f,南京,,南京市江宁区金龟子育儿园,,,,江宁区莱茵达路96-100号,NJ_REG_ENTRY_2023_江宁区_GOV_ATT_9E4A7222,NJ_REG_ENTRY_2023_江宁区_GOV_ATT_9E4A7222,,,,,,,,,1,READY_FOR_GEOCODE,PENDING,READY_FOR_GEOCODE
nursery_b98eb8f6368f,南京,,南京金宝宝启蒙婴幼儿保育有限公司,,,,江宁区金宝商业广场天元路店31栋1楼1号,NJ_REG_ENTRY_2023_江宁区_GOV_ATT_9E4A7222,NJ_REG_ENTRY_2023_江宁区_GOV_ATT_9E4A7222,,,,1,,,,,1,READY_FOR_GEOCODE,PENDING,READY_FOR_GEOCODE
nursery_ef8cc087763e,南京,,南京市江宁区哆唻咪育儿园,,,,江宁区天印大道明月新寓门面房1008-16号,NJ_REG_ENTRY_2023_江宁区_GOV_ATT_9E4A7222,NJ_REG_ENTRY_2023_江宁区_GOV_ATT_9E4A7222,,,,,,,,,1,READY_FOR_GEOCODE,PENDING,READY_FOR_GEOCODE
nursery_d7227f02e8da,南京,,南京市七彩宝屋保育服务有限公司,,,,江宁区湖东路29号9号楼208,NJ_REG_ENTRY_2023_江宁区_GOV_ATT_9E4A7222,NJ_REG_ENTRY_2023_江宁区_GOV_ATT_9E4A7222,,,,,,,,,1,READY_FOR_GEOCODE,PENDING,READY_FOR_GEOCODE
nursery_afeaa8fa7f84,南京,,南京铃兰婴幼儿保育有限公司,,,,江宁区科学园竹山南路潭桥北园商业综合楼二楼,NJ_REG_ENTRY_2023_江宁区_GOV_ATT_9E4A7222,NJ_REG_ENTRY_2023_江宁区_GOV_ATT_9E4A7222,,,,1,,,,,1,READY_FOR_GEOCODE,PENDING,READY_FOR_GEOCODE
nursery_5169f8707bc8,南京,,南京心禾婴幼儿托育有限公司,,托育机构,,江宁区湖熟街道友谊路18号,NJ_REG_ENTRY_2023_江宁区_GOV_ATT_9E4A7222,NJ_REG_ENTRY_2023_江宁区_GOV_ATT_9E4A7222,,,,,,,,,1,READY_FOR_GEOCODE,PENDING,READY_FOR_GEOCODE
nursery_58d87314b733,南京,,南京泰兰特保育服务有限公司,,,,江宁区麒麟街道麒东路777号银亿东城第九街道40号206室,NJ_REG_ENTRY_2023_江宁区_GOV_ATT_9E4A7222,NJ_REG_ENTRY_2023_江宁区_GOV_ATT_9E4A7222,,,,,,,,,1,READY_FOR_GEOCODE,PENDING,READY_FOR_GEOCODE
nursery_2108a41b9902,南京,,南京三之三幼儿园,,托幼一体/托班,,南京市秦淮区御道街169号,NJ_REG_ENTRY_2023_秦淮区_GOV,NJ_REG_ENTRY_2023_秦淮区_GOV,,,1,,,,,,1,READY_FOR_GEOCODE,PENDING,READY_FOR_GEOCODE
nursery_4c05e09cfb39,南京,,南京秦淮龙苑幼儿园,,托幼一体/托班,,南京市秦淮区龙苑新寓一村9号,NJ_REG_ENTRY_2023_秦淮区_GOV,NJ_REG_ENTRY_2023_秦淮区_GOV,,,1,,,,,,1,READY_FOR_GEOCODE,PENDING,READY_FOR_GEOCODE
nursery_1c9959e96bd2,南京,,奥星幼儿园,,托幼一体/托班,,南京市秦淮区苜蓿园大街69号,NJ_REG_ENTRY_2023_秦淮区_GOV,NJ_REG_ENTRY_2023_秦淮区_GOV,,,1,,,,,,1,READY_FOR_GEOCODE,PENDING,READY_FOR_GEOCODE
nursery_c23d32b53d6b,南京,,天坛新寓幼儿园,,托幼一体/托班,,南京市秦淮区石门坎146号,NJ_REG_ENTRY_2023_秦淮区_GOV,NJ_REG_ENTRY_2023_秦淮区_GOV,,,1,,,,,,1,READY_FOR_GEOCODE,PENDING,READY_FOR_GEOCODE
nursery_0048bddea0f5,南京,,南京鸿意星城幼儿园,,托幼一体/托班,,南京市秦淮区星海路6号,NJ_REG_ENTRY_2023_秦淮区_GOV,NJ_REG_ENTRY_2023_秦淮区_GOV,,,1,,,,,,1,READY_FOR_GEOCODE,PENDING,READY_FOR_GEOCODE
nursery_c0eb39b1466f,南京,,南京美儿乐婴幼儿保育服务有限公司,,,,南京市秦淮区象房村路50号-1,NJ_REG_ENTRY_2023_秦淮区_GOV,NJ_REG_ENTRY_2023_秦淮区_GOV,,,,1,,,,,1,READY_FOR_GEOCODE,PENDING,READY_FOR_GEOCODE
nursery_5e628f733f6a,南京,,南京因爱婴幼儿保育有限公司,,,,南京市秦淮区汇景北路140号2楼,NJ_REG_ENTRY_2023_秦淮区_GOV,NJ_REG_ENTRY_2023_秦淮区_GOV,,,,1,,,,,1,READY_FOR_GEOCODE,PENDING,READY_FOR_GEOCODE
nursery_5d158bfd0863,南京,,大地幼儿园,,托幼一体/托班,,南京市秦淮区尚书巷3号,NJ_REG_ENTRY_2023_秦淮区_GOV,NJ_REG_ENTRY_2023_秦淮区_GOV,,,1,,,,,,1,READY_FOR_GEOCODE,PENDING,READY_FOR_GEOCODE
nursery_c46532d0df3b,南京,,南京紫金明珠幼儿园,,托幼一体/托班,,秦淮区星海路8号39幢,NJ_REG_ENTRY_2023_秦淮区_GOV,NJ_REG_ENTRY_2023_秦淮区_GOV,,,1,,,,,,1,READY_FOR_GEOCODE,PENDING,READY_FOR_GEOCODE
nursery_875e4fb1f404,南京,,南京秦淮东方智能幼儿园,,托幼一体/托班,,南京市秦淮区永乐北路2号,NJ_REG_ENTRY_2023_秦淮区_GOV,NJ_REG_ENTRY_2023_秦淮区_GOV,,,1,,,,,,1,READY_FOR_GEOCODE,PENDING,READY_FOR_GEOCODE
nursery_e5ab6e8067a2,南京,,南京市七韵幼儿园,,托幼一体/托班,,秦淮区石杨路116号住建大厦3栋,NJ_REG_ENTRY_2023_秦淮区_GOV,NJ_REG_ENTRY_2023_秦淮区_GOV,,,1,,,,,,1,READY_FOR_GEOCODE,PENDING,READY_FOR_GEOCODE
nursery_974698596bb7,南京,,南京秦淮汇景幼儿园,,托幼一体/托班,,南京市秦淮区汇福苑7号,NJ_REG_ENTRY_2023_秦淮区_GOV,NJ_REG_ENTRY_2023_秦淮区_GOV,,,1,,,,,,1,READY_FOR_GEOCODE,PENDING,READY_FOR_GEOCODE
