poi_row_id,poi_group,city,district,query_keyword,query_type_code,adcode,search_mode,source_id,poi_id,poi_name,poi_type,poi_typecode,address,location_gcj02,tel,parent_id,business_area,query_batch_id,duplicate_flag,manual_check_flag
poi_4f865aa7b210,residential,南京,玄武区,小区,,320100,city_keyword_prefix,AMAP_POI_DOC,B0FFGD0Q42,洪武路小区,商务住宅;住宅区;住宅小区,120302,碑亭巷10号(大行宫地铁站2号口步行130米),"118.793621,32.041504",[],[],,poiquery_81c075a7984e,0,0
poi_0e467992a1cc,residential,南京,玄武区,小区,,320100,city_keyword_prefix,AMAP_POI_DOC,B00190B5RP,蓁巷小区,商务住宅;住宅区;住宅小区,120302,蓁巷1号,"118.792957,32.052268",[],[],,poiquery_81c075a7984e,0,0
poi_599fd1c7a319,residential,南京,玄武区,小区,,320100,city_keyword_prefix,AMAP_POI_DOC,B00190BC09,红庙小区,商务住宅;住宅区;住宅小区,120302,珠江路洪武北路安将军巷10号,"118.790407,32.048012",[],[],,poiquery_81c075a7984e,0,0
poi_0000b9bdc346,residential,南京,玄武区,小区,,320100,city_keyword_prefix,AMAP_POI_DOC,B00190ZIJ1,鱼市街小区,商务住宅;住宅区;住宅小区,120302,鱼市街2-21号(珠江路地铁站4号口步行400米),"118.788152,32.050701",[],[],,poiquery_81c075a7984e,0,0
poi_1fb0b8ba84b4,residential,南京,玄武区,小区,,320100,city_keyword_prefix,AMAP_POI_DOC,B00190BC5Q,樱铁村小区,商务住宅;住宅区;住宅小区,120302,玄武大道附近,"118.827586,32.086208",[],[],,poiquery_81c075a7984e,0,0
poi_02ab4bb52bee,residential,南京,玄武区,小区,,320100,city_keyword_prefix,AMAP_POI_DOC,B0FFFYI19O,鸡鹅巷小区,商务住宅;住宅区;住宅小区,120302,珠江路(新街口),"118.790960,32.048536",025-83612036,[],,poiquery_81c075a7984e,0,0
poi_2be06b6937de,residential,南京,玄武区,小区,,320100,city_keyword_prefix,AMAP_POI_DOC,B0HDSM5BE8,大悲巷小区,商务住宅;住宅区;住宅小区,120302,珠江路,"118.801874,32.045374",[],[],,poiquery_81c075a7984e,0,0
poi_9f002439801f,residential,南京,玄武区,小区,,320100,city_keyword_prefix,AMAP_POI_DOC,B0019143JW,小纱帽巷小区,商务住宅;住宅区;住宅小区,120302,珠江路小纱帽巷3号,"118.791218,32.050077",[],[],,poiquery_81c075a7984e,0,0
poi_8d37d406981e,residential,南京,玄武区,小区,,320100,city_keyword_prefix,AMAP_POI_DOC,B001909WVA,十字街小区,商务住宅;住宅区;住宅小区,120302,红山路190号,"118.810056,32.093902",[],[],,poiquery_81c075a7984e,0,0
poi_2ee003850c06,residential,南京,玄武区,小区,,320100,city_keyword_prefix,AMAP_POI_DOC,B001908UGC,月苑小区,商务住宅;住宅区;住宅小区,120302,营苑南路3号,"118.828334,32.100444",[],[],,poiquery_81c075a7984e,0,0
poi_c247819273e7,residential,南京,玄武区,小区,,320100,city_keyword_prefix,AMAP_POI_DOC,B0FFG08VV1,钟灵街54号小区,商务住宅;住宅区;住宅小区,120302,钟灵街54号(钟灵街地铁站2B口步行220米),"118.869994,32.038795",[],[],,poiquery_81c075a7984e,0,0
poi_3c037462e5f7,residential,南京,玄武区,小区,,320100,city_keyword_prefix,AMAP_POI_DOC,B00190BBWD,东箭道小区,商务住宅;住宅区;住宅小区,120302,东箭道17号,"118.799453,32.044153",[],[],,poiquery_81c075a7984e,0,0
poi_b467517eefe5,residential,南京,玄武区,小区,,320100,city_keyword_prefix,AMAP_POI_DOC,B001911O4V,玄武区玄武湖社区卫生服务中心,医疗保健服务;综合医院;卫生院,090102,板仓街288号(蒋王庙地铁站2号口步行400米),"118.827930,32.075655",025-85280034,[],,poiquery_81c075a7984e,0,0
poi_24326daba6aa,residential,南京,玄武区,小区,,320100,city_keyword_prefix,AMAP_POI_DOC,B0FFI97N35,富升大厦小区,商务住宅;住宅区;住宅小区,120302,傅厚岗11号,"118.784923,32.064521",[],[],,poiquery_81c075a7984e,0,0
poi_2f55a168cd80,residential,南京,玄武区,小区,,320100,city_keyword_prefix,AMAP_POI_DOC,B00190BC72,罗汉巷小区,商务住宅;住宅区;住宅小区,120302,罗汉巷理工大1号门外(孝陵卫地铁站3号口步行200米),"118.860192,32.034575",[],[],,poiquery_81c075a7984e,0,0
poi_3206d3ea41f7,residential,南京,玄武区,小区,,320100,city_keyword_prefix,AMAP_POI_DOC,B0FFF5BETY,大纱帽巷40号小区,商务住宅;住宅区;住宅小区,120302,大纱帽巷与小纱帽巷交叉口东60米,"118.792091,32.050298",[],[],,poiquery_81c075a7984e,0,0
poi_3f93bf7653a5,residential,南京,玄武区,小区,,320100,city_keyword_prefix,AMAP_POI_DOC,B0GD5H3EQJ,玄武·映园,商务住宅;住宅区;住宅小区,120302,月苑南路1号,"118.827288,32.097751",[],[],,poiquery_81c075a7984e,0,0
poi_06b39eca15b9,residential,南京,玄武区,小区,,320100,city_keyword_prefix,AMAP_POI_DOC,B00190BUGI,佛心桥小区,商务住宅;住宅区;住宅小区,120302,佛心桥42号,"118.818873,32.050823",[],[],,poiquery_81c075a7984e,0,0
poi_ad67ce166555,residential,南京,玄武区,小区,,320100,city_keyword_prefix,AMAP_POI_DOC,B00190BBTL,西园小区,商务住宅;住宅区;住宅小区,120302,[],"118.851760,32.034400",[],[],,poiquery_81c075a7984e,0,0
poi_74f8969c9d4a,residential,南京,玄武区,小区,,320100,city_keyword_prefix,AMAP_POI_DOC,B0FFG26JUL,长巷苑小区,商务住宅;住宅区;住宅小区,120302,胜利村路与紫金东路交叉口西北280米,"118.849814,32.025668",[],[],,poiquery_81c075a7984e,0,0
poi_54253c114379,residential,南京,玄武区,小区,,320100,city_keyword_prefix,AMAP_POI_DOC,B0FFH6KS6Y,一枝园小区南区,商务住宅;住宅区;住宅小区,120302,网巾市(浮桥地铁站2号口步行380米),"118.794521,32.047540",[],B0L6MCSCGX,,poiquery_81c075a7984e,0,0
poi_40264cd44664,residential,南京,玄武区,小区,,320100,city_keyword_prefix,AMAP_POI_DOC,B0FFFCMND3,紫金柳苑小区,商务住宅;住宅区;住宅小区,120302,钟灵街50号,"118.875203,32.039870",[],[],,poiquery_81c075a7984e,0,0
poi_417e196e7ef2,residential,南京,玄武区,小区,,320100,city_keyword_prefix,AMAP_POI_DOC,B00190B6JR,太平桥南小区北区,商务住宅;住宅区;住宅小区,120302,珠江路,"118.800332,32.046590",[],B00190BBWK,,poiquery_81c075a7984e,0,0
poi_43c86796144f,residential,南京,玄武区,小区,,320100,city_keyword_prefix,AMAP_POI_DOC,B0FFGFGDEE,胜利村108号小区,商务住宅;商务住宅相关;商务住宅相关,120000,光华路街道光华路,"118.850523,32.018625",[],[],,poiquery_81c075a7984e,0,0
poi_02c9f7610bcc,residential,南京,玄武区,小区,,320100,city_keyword_prefix,AMAP_POI_DOC,B00190B22J,红山路157号小区,商务住宅;住宅区;住宅小区,120302,红山路157号,"118.807272,32.093176",[],[],,poiquery_81c075a7984e,0,0
