poi_row_id,poi_group,city,district,query_keyword,query_type_code,adcode,search_mode,source_id,poi_id,poi_name,poi_type,poi_typecode,address,location_gcj02,tel,parent_id,business_area,query_batch_id,duplicate_flag,manual_check_flag
poi_275325a746c6,support,南京,玄武区,地铁站,,320100,city_keyword_prefix,AMAP_POI_DOC,BV10057753,新街口(地铁站),交通设施服务;地铁站;地铁站,150500,1号线;2号线,"118.784136,32.041806",[],[],,poiquery_0c3de4b03d57,0,0
poi_f034f0fec51a,support,南京,玄武区,地铁站,,320100,city_keyword_prefix,AMAP_POI_DOC,BV10431631,鸡鸣寺(地铁站),交通设施服务;地铁站;地铁站,150500,3号线;4号线,"118.798082,32.057266",[],[],,poiquery_0c3de4b03d57,0,0
poi_d51568b0036a,support,南京,玄武区,地铁站,,320100,city_keyword_prefix,AMAP_POI_DOC,BV10057650,苜蓿园(地铁站),交通设施服务;地铁站;地铁站,150500,2号线,"118.835310,32.040239",[],[],,poiquery_0c3de4b03d57,0,0
poi_9c821f05cc68,support,南京,玄武区,地铁站,,320100,city_keyword_prefix,AMAP_POI_DOC,BV10055287,大行宫(地铁站),交通设施服务;地铁站;地铁站,150500,2号线;3号线,"118.794787,32.041737",[],[],,poiquery_0c3de4b03d57,0,0
poi_2ecb9c640dd6,support,南京,玄武区,地铁站,,320100,city_keyword_prefix,AMAP_POI_DOC,BV10055207,玄武门(地铁站),交通设施服务;地铁站;地铁站,150500,1号线,"118.784221,32.070381",[],[],,poiquery_0c3de4b03d57,0,0
poi_2d73509a05e0,support,南京,玄武区,地铁站,,320100,city_keyword_prefix,AMAP_POI_DOC,BV09448202,中山陵·下马坊(地铁站),交通设施服务;地铁站;地铁站,150500,2号线,"118.848373,32.037578",[],[],,poiquery_0c3de4b03d57,0,0
poi_09c7254e96de,support,南京,玄武区,地铁站,,320100,city_keyword_prefix,AMAP_POI_DOC,BV10431636,南京林业大学·新庄(地铁站),交通设施服务;地铁站;地铁站,150500,3号线,"118.810435,32.076463",[],[],,poiquery_0c3de4b03d57,0,0
poi_6feac97c4b11,support,南京,玄武区,地铁站,,320100,city_keyword_prefix,AMAP_POI_DOC,BV10053754,珠江路(地铁站),交通设施服务;地铁站;地铁站,150500,(规划)13号线;1号线,"118.784208,32.050974",[],[],,poiquery_0c3de4b03d57,0,0
poi_74147ae3a719,support,南京,玄武区,地铁站,,320100,city_keyword_prefix,AMAP_POI_DOC,BV10595530,蒋王庙(地铁站),交通设施服务;地铁站;地铁站,150500,4号线,"118.831148,32.077536",[],[],,poiquery_0c3de4b03d57,0,0
poi_bf174d25c9b9,support,南京,玄武区,地铁站,,320100,city_keyword_prefix,AMAP_POI_DOC,BV10595528,岗子村(地铁站),交通设施服务;地铁站;地铁站,150500,(在建)6号线;4号线,"118.815835,32.065571",[],[],,poiquery_0c3de4b03d57,0,0
poi_ca620d7c985f,support,南京,玄武区,地铁站,,320100,city_keyword_prefix,AMAP_POI_DOC,BV10055589,红山动物园(地铁站),交通设施服务;地铁站;地铁站,150500,1号线,"118.802053,32.095774",[],[],,poiquery_0c3de4b03d57,0,0
poi_9e23ca96ee3e,support,南京,玄武区,地铁站,,320100,city_keyword_prefix,AMAP_POI_DOC,BV10055570,浮桥(地铁站),交通设施服务;地铁站;地铁站,150500,(规划)13号线;3号线,"118.796107,32.048660",[],[],,poiquery_0c3de4b03d57,0,0
poi_7820763e0038,support,南京,玄武区,地铁站,,320100,city_keyword_prefix,AMAP_POI_DOC,BV09447076,中山陵音乐台·孝陵卫(地铁站),交通设施服务;地铁站;地铁站,150500,2号线,"118.858058,32.035416",[],[],,poiquery_0c3de4b03d57,0,0
poi_89c61473968b,support,南京,玄武区,地铁站,,320100,city_keyword_prefix,AMAP_POI_DOC,BV10052324,仙鹤门(地铁站),交通设施服务;地铁站;地铁站,150500,2号线,"118.904914,32.084911",[],[],,poiquery_0c3de4b03d57,0,0
poi_ec7e754395ef,support,南京,玄武区,地铁站,,320100,city_keyword_prefix,AMAP_POI_DOC,BV09427122,灵谷寺·钟灵街(地铁站),交通设施服务;地铁站;地铁站,150500,2号线,"118.869395,32.039146",[],[],,poiquery_0c3de4b03d57,0,0
poi_97ce2350b9ad,support,南京,玄武区,地铁站,,320100,city_keyword_prefix,AMAP_POI_DOC,BV10595526,九华山(地铁站),交通设施服务;地铁站;地铁站,150500,4号线,"118.806000,32.057314",[],[],,poiquery_0c3de4b03d57,0,0
poi_c21f76367eba,support,南京,玄武区,地铁站,,320100,city_keyword_prefix,AMAP_POI_DOC,BV10595534,王家湾(地铁站),交通设施服务;地铁站;地铁站,150500,4号线,"118.837855,32.085238",[],[],,poiquery_0c3de4b03d57,0,0
poi_e8a5f82b3060,support,南京,玄武区,地铁站,,320100,city_keyword_prefix,AMAP_POI_DOC,BV10595533,聚宝山(地铁站),交通设施服务;地铁站;地铁站,150500,4号线,"118.864212,32.093858",[],[],,poiquery_0c3de4b03d57,0,0
poi_03370b8a855b,support,南京,玄武区,地铁站,,320100,city_keyword_prefix,AMAP_POI_DOC,BV10595531,徐庄·苏宁总部(地铁站),交通设施服务;地铁站;地铁站,150500,4号线,"118.889679,32.084861",[],[],,poiquery_0c3de4b03d57,0,0
poi_9aa6098a9962,support,南京,玄武区,地铁站,,320100,city_keyword_prefix,AMAP_POI_DOC,BV11381641,红山新城(地铁站),交通设施服务;地铁站;地铁站,150500,(在建)6号线;(在建)9号线,"118.818492,32.095407",[],[],,poiquery_0c3de4b03d57,0,0
poi_d86e172a589d,support,南京,玄武区,地铁站,,320100,city_keyword_prefix,AMAP_POI_DOC,BV10054580,营苑南路(地铁站),交通设施服务;地铁站;地铁站,150500,(在建)6号线,"118.827769,32.101583",[],[],,poiquery_0c3de4b03d57,0,0
poi_702289dc4f60,support,南京,玄武区,地铁站,,320100,city_keyword_prefix,AMAP_POI_DOC,BV10052301,花园路(地铁站),交通设施服务;地铁站;地铁站,150500,(在建)6号线,"118.821923,32.082966",[],[],,poiquery_0c3de4b03d57,0,0
poi_b420256dfe0f,support,南京,玄武区,地铁站,,320100,city_keyword_prefix,AMAP_POI_DOC,BV10056576,富贵山(地铁站),交通设施服务;地铁站;地铁站,150500,(在建)6号线,"118.818938,32.048155",[],[],,poiquery_0c3de4b03d57,0,0
poi_bdc9da8377e0,support,南京,玄武区,地铁站,,320100,city_keyword_prefix,AMAP_POI_DOC,BV10053846,红山路(地铁站),交通设施服务;地铁站;地铁站,150500,(在建)9号线,"118.811165,32.084426",[],[],,poiquery_0c3de4b03d57,0,0
poi_ddba1431790e,support,南京,玄武区,地铁站,,320100,city_keyword_prefix,AMAP_POI_DOC,BV10055216,沧波门(地铁站),交通设施服务;地铁站;地铁站,150500,(规划)8号线,"118.883602,32.018732",[],[],,poiquery_0c3de4b03d57,0,0
poi_faa49df31b90,support,南京,玄武区,地铁站,,320100,city_keyword_prefix,AMAP_POI_DOC,BV11654455,南京农业大学(地铁站),交通设施服务;地铁站;地铁站,150500,(规划)13号线,"118.841573,32.029038",[],[],,poiquery_0c3de4b03d57,0,0
poi_f6e66e798392,support,南京,玄武区,地铁站,,320100,city_keyword_prefix,AMAP_POI_DOC,BV10055567,马标(地铁站),交通设施服务;地铁站;地铁站,150500,(规划)13号线,"118.805737,32.045657",[],[],,poiquery_0c3de4b03d57,0,0
poi_dd93b1b8e82e,support,南京,玄武区,公交站,,320100,city_keyword_prefix,AMAP_POI_DOC,BV11471771,东南大学(公交站),交通设施服务;公交车站;公交车站相关,150700,70路;95路,"118.792235,32.053533",[],[],,poiquery_b48990d94a8c,0,0
