probe_time,city,parent_source_id,source_id,district,page_role,probe_stage,query_text,candidate_url,candidate_title,status,decision,note
2026-04-18 12:21:06,南京,NJ_REG_ENTRY_2023,,玄武区,district_followdown,search,"site:gov.cn ""玄武区已审批备案托育机构公示"" ""玄武区"" 南京",,,started,,南京市玄武区人民政府 网站
2026-04-18 12:21:17,南京,NJ_REG_ENTRY_2023,NJ_REG_ENTRY_2023_玄武区_GOV,玄武区,district_notice,manifest_upsert,玄武区已审批备案托育机构公示,,,unresolved,seed_manual_capture,南京市玄武区人民政府 网站
2026-04-18 12:21:18,南京,NJ_REG_ENTRY_2023,,秦淮区,district_followdown,search,"site:gov.cn ""秦淮区0-3岁备案托育机构公示"" ""秦淮区"" 南京",,,started,,南京市秦淮区人民政府 网站
2026-04-18 12:21:23,南京,NJ_REG_ENTRY_2023,NJ_REG_ENTRY_2023_秦淮区_GOV,秦淮区,district_notice,manifest_upsert,秦淮区0-3岁备案托育机构公示,,,unresolved,seed_manual_capture,南京市秦淮区人民政府 网站
2026-04-18 12:21:23,南京,NJ_REG_ENTRY_2023,,建邺区,district_followdown,search,"site:mp.weixin.qq.com ""建邺区0-3岁备案托育机构公示"" ""建邺区"" 南京",,,started,,健康建邺微信号
2026-04-18 12:21:28,南京,NJ_REG_ENTRY_2023,NJ_REG_ENTRY_2023_建邺区_WX,建邺区,district_wechat_notice,manifest_upsert,建邺区0-3岁备案托育机构公示,,,unresolved,seed_manual_capture,健康建邺微信号
2026-04-18 12:21:28,南京,NJ_REG_ENTRY_2023,,鼓楼区,district_followdown,search,"site:gov.cn ""鼓楼区备案托育机构公示"" ""鼓楼区"" 南京",,,started,,南京市鼓楼区人民政府 网站
2026-04-18 12:21:32,南京,NJ_REG_ENTRY_2023,NJ_REG_ENTRY_2023_鼓楼区_GOV,鼓楼区,district_notice,manifest_upsert,鼓楼区备案托育机构公示,,,unresolved,seed_manual_capture,南京市鼓楼区人民政府 网站
2026-04-18 12:21:32,南京,NJ_REG_ENTRY_2023,,栖霞区,district_followdown,search,"site:gov.cn ""栖霞区已登记备案托育机构公示"" ""栖霞区"" 南京",,,started,,南京市栖霞区人民政府网站
2026-04-18 12:21:34,南京,NJ_REG_ENTRY_2023,NJ_REG_ENTRY_2023_栖霞区_GOV,栖霞区,district_notice,manifest_upsert,栖霞区已登记备案托育机构公示,,,unresolved,seed_manual_capture,南京市栖霞区人民政府网站
2026-04-18 12:21:34,南京,NJ_REG_ENTRY_2023,,雨花台区,district_followdown,search,"site:gov.cn ""南京市雨花台区备案托育机构公示"" ""雨花台区"" 南京",,,started,,南京市雨花台区人民政府网站
2026-04-18 12:21:39,南京,NJ_REG_ENTRY_2023,NJ_REG_ENTRY_2023_雨花台区_GOV,雨花台区,district_notice,manifest_upsert,南京市雨花台区备案托育机构公示,,,unresolved,seed_manual_capture,南京市雨花台区人民政府网站
2026-04-18 12:21:39,南京,NJ_REG_ENTRY_2023,,江宁区,district_followdown,seed_verify,江宁区已审批备案托育机构公示,https://www.jiangning.gov.cn/jnqrmzf/202405/t20240515_4666588.html,江宁区人民政府,found,seed_verified,南京市江宁区人民政府网站
2026-04-18 12:21:39,南京,NJ_REG_ENTRY_2023,NJ_REG_ENTRY_2023_江宁区_GOV,江宁区,district_notice,manifest_upsert,,https://www.jiangning.gov.cn/jnqrmzf/202405/t20240515_4666588.html,江宁区人民政府,found,upsert_manifest,南京市江宁区人民政府网站
2026-04-18 12:21:39,南京,NJ_REG_ENTRY_2023,,浦口区,district_followdown,search,"site:gov.cn ""南京市浦口区备案托育机构公示"" ""浦口区"" 南京",,,started,,南京市浦口区人民政府网站
2026-04-18 12:21:49,南京,NJ_REG_ENTRY_2023,NJ_REG_ENTRY_2023_浦口区_GOV,浦口区,district_notice,manifest_upsert,南京市浦口区备案托育机构公示,,,unresolved,seed_manual_capture,南京市浦口区人民政府网站
2026-04-18 12:21:49,南京,NJ_REG_ENTRY_2023,,六合区,district_followdown,search,"site:mp.weixin.qq.com ""六合区备案托育机构名单公示"" ""六合区"" 南京",,,started,,健康六合订阅号
2026-04-18 12:21:55,南京,NJ_REG_ENTRY_2023,NJ_REG_ENTRY_2023_六合区_WX,六合区,district_wechat_notice,manifest_upsert,六合区备案托育机构名单公示,,,unresolved,seed_manual_capture,健康六合订阅号
2026-04-18 12:21:55,南京,NJ_REG_ENTRY_2023,,溧水区,district_followdown,search,"site:gov.cn ""溧水区已备案托育机构名单公示"" ""溧水区"" 南京",,,started,,南京市溧水区人民政府 网站
2026-04-18 12:22:00,南京,NJ_REG_ENTRY_2023,NJ_REG_ENTRY_2023_溧水区_GOV,溧水区,district_notice,manifest_upsert,溧水区已备案托育机构名单公示,,,unresolved,seed_manual_capture,南京市溧水区人民政府 网站
2026-04-18 12:22:00,南京,NJ_REG_ENTRY_2023,,高淳区,district_followdown,search,"site:mp.weixin.qq.com ""高淳区0-3岁托育机构备案托育机构名单公示"" ""高淳区"" 南京",,,started,,健康高淳微信号
2026-04-18 12:22:05,南京,NJ_REG_ENTRY_2023,NJ_REG_ENTRY_2023_高淳区_WX,高淳区,district_wechat_notice,manifest_upsert,高淳区0-3岁托育机构备案托育机构名单公示,,,unresolved,seed_manual_capture,健康高淳微信号
2026-04-18 12:22:05,南京,NJ_REG_ENTRY_2023,,江北新区,district_followdown,search,"site:mp.weixin.qq.com ""江北新区备案托育机构名单公示"" ""江北新区"" 南京",,,started,,南京江北新区微信号
2026-04-18 12:22:10,南京,NJ_REG_ENTRY_2023,NJ_REG_ENTRY_2023_江北新区_WX,江北新区,district_wechat_notice,manifest_upsert,江北新区备案托育机构名单公示,,,unresolved,seed_manual_capture,南京江北新区微信号
2026-04-18 12:23:29,南京,NJ_REG_ENTRY_2023,,玄武区,district_followdown,search,"site:gov.cn ""玄武区已审批备案托育机构公示"" ""玄武区"" 南京",,,started,,南京市玄武区人民政府 网站
2026-04-18 12:23:33,南京,NJ_REG_ENTRY_2023,NJ_REG_ENTRY_2023_玄武区_GOV,玄武区,district_notice,manifest_upsert,玄武区已审批备案托育机构公示,,,unresolved,seed_manual_capture,南京市玄武区人民政府 网站
2026-04-18 12:23:34,南京,NJ_REG_ENTRY_2023,,秦淮区,district_followdown,seed_verify,秦淮区0-3岁备案托育机构公示,https://www.njqh.gov.cn/qhqrmzf/202507/t20250711_5605267.html,南京市秦淮区人民政府,found,seed_verified,南京市秦淮区人民政府 网站
2026-04-18 12:23:34,南京,NJ_REG_ENTRY_2023,NJ_REG_ENTRY_2023_秦淮区_GOV,秦淮区,district_notice,manifest_upsert,,https://www.njqh.gov.cn/qhqrmzf/202507/t20250711_5605267.html,南京市秦淮区人民政府,found,upsert_manifest,南京市秦淮区人民政府 网站
2026-04-18 12:23:34,南京,NJ_REG_ENTRY_2023,,建邺区,district_followdown,search,"site:mp.weixin.qq.com ""建邺区0-3岁备案托育机构公示"" ""建邺区"" 南京",,,started,,健康建邺微信号
2026-04-18 12:23:39,南京,NJ_REG_ENTRY_2023,NJ_REG_ENTRY_2023_建邺区_WX,建邺区,district_wechat_notice,manifest_upsert,建邺区0-3岁备案托育机构公示,,,unresolved,seed_manual_capture,健康建邺微信号
2026-04-18 12:23:39,南京,NJ_REG_ENTRY_2023,,鼓楼区,district_followdown,search,"site:gov.cn ""鼓楼区备案托育机构公示"" ""鼓楼区"" 南京",,,started,,南京市鼓楼区人民政府 网站
2026-04-18 12:23:43,南京,NJ_REG_ENTRY_2023,NJ_REG_ENTRY_2023_鼓楼区_GOV,鼓楼区,district_notice,manifest_upsert,鼓楼区备案托育机构公示,,,unresolved,seed_manual_capture,南京市鼓楼区人民政府 网站
2026-04-18 12:23:43,南京,NJ_REG_ENTRY_2023,,栖霞区,district_followdown,search,"site:gov.cn ""栖霞区已登记备案托育机构公示"" ""栖霞区"" 南京",,,started,,南京市栖霞区人民政府网站
2026-04-18 12:23:45,南京,NJ_REG_ENTRY_2023,NJ_REG_ENTRY_2023_栖霞区_GOV,栖霞区,district_notice,manifest_upsert,栖霞区已登记备案托育机构公示,,,unresolved,seed_manual_capture,南京市栖霞区人民政府网站
2026-04-18 12:23:45,南京,NJ_REG_ENTRY_2023,,雨花台区,district_followdown,search,"site:gov.cn ""南京市雨花台区备案托育机构公示"" ""雨花台区"" 南京",,,started,,南京市雨花台区人民政府网站
2026-04-18 12:23:50,南京,NJ_REG_ENTRY_2023,NJ_REG_ENTRY_2023_雨花台区_GOV,雨花台区,district_notice,manifest_upsert,南京市雨花台区备案托育机构公示,,,unresolved,seed_manual_capture,南京市雨花台区人民政府网站
2026-04-18 12:23:53,南京,NJ_REG_ENTRY_2023,,江宁区,district_followdown,seed_verify,江宁区已审批备案托育机构公示,https://www.jiangning.gov.cn/jnqrmzf/202405/t20240515_4666588.html,江宁区人民政府,found,seed_verified,南京市江宁区人民政府网站
2026-04-18 12:23:53,南京,NJ_REG_ENTRY_2023,NJ_REG_ENTRY_2023_江宁区_GOV,江宁区,district_notice,manifest_upsert,,https://www.jiangning.gov.cn/jnqrmzf/202405/t20240515_4666588.html,江宁区人民政府,found,upsert_manifest,南京市江宁区人民政府网站
2026-04-18 12:23:53,南京,NJ_REG_ENTRY_2023,,浦口区,district_followdown,search,"site:gov.cn ""南京市浦口区备案托育机构公示"" ""浦口区"" 南京",,,started,,南京市浦口区人民政府网站
2026-04-18 12:23:58,南京,NJ_REG_ENTRY_2023,NJ_REG_ENTRY_2023_浦口区_GOV,浦口区,district_notice,manifest_upsert,南京市浦口区备案托育机构公示,,,unresolved,seed_manual_capture,南京市浦口区人民政府网站
2026-04-18 12:23:58,南京,NJ_REG_ENTRY_2023,,六合区,district_followdown,search,"site:mp.weixin.qq.com ""六合区备案托育机构名单公示"" ""六合区"" 南京",,,started,,健康六合订阅号
