city,district,demand_poi_row_id,demand_poi_id,demand_name,nearest_nursery_id,nearest_nursery_name,nearest_walk_time_min,covered_15m
南京,,poi_0283c76c5be1,B0IAXP288D,马家店幸福城春华园,nursery_14360c712721,唯思顿零三三(南京)保育服务有限公司,41.25,0
南京,,poi_02ec2afe8812,B0FFI984VR,西家大塘,nursery_f10c36b0cac2,江苏省军区第四幼儿园,31.89,0
南京,,poi_057f32f7178d,B0FFFA24Z8,南京青奥体育公园,nursery_c4ad6ff0533c,南京中兴苑幼儿园托班,124.75,0
南京,,poi_074b30ea81e3,B0IDTUWR1S,丹阳国际眼镜城(月苑总店),nursery_cfec04f611f1,南京东恒阳光幼儿园,20.31,0
南京,,poi_0ba2b08a9933,B0J67MOACY,万科·都荟天地城A区,nursery_f369055917d4,南京宁禾托育有限公司,3.33,1
南京,,poi_0ef9398325f0,B0FFFA2P5M,义德西苑,nursery_14360c712721,唯思顿零三三(南京)保育服务有限公司,93.72,0
南京,,poi_1131f84bf629,B001911MO6,凯润金城,nursery_f10c36b0cac2,江苏省军区第四幼儿园,12.97,1
南京,,poi_14cebc303b35,B00190BBOV,阅城国际花园,nursery_1a411700739f,南京市秦淮区博乐婴幼儿托育园,28.66,0
南京,,poi_14d6e9e16bef,B0KKTSH8QT,万寿家具城,nursery_c4ad6ff0533c,南京中兴苑幼儿园托班,143.93,0
南京,,poi_15205dd9cff8,B0IRNPWUYE,南京招商局中心臻境,nursery_cfec04f611f1,南京东恒阳光幼儿园,9.00,1
南京,,poi_158f0763bece,B001907SMK,百子亭后小区,nursery_f10c36b0cac2,江苏省军区第四幼儿园,38.05,0
南京,,poi_15bdd8c30bf1,B0J67MO33J,万科·都荟天地城B区,nursery_f369055917d4,南京宁禾托育有限公司,3.29,1
南京,,poi_15c88deb4c19,B0JR5UW7EC,明秀秀山苑,nursery_58d87314b733,南京泰兰特保育服务有限公司,126.22,0
南京,,poi_167cf4bfa004,B001908SWW,银城东苑,nursery_68852924ee73,南京市富丽山庄幼儿园托班,14.68,1
南京,,poi_1720583d6ce7,B00190B5RP,蓁巷小区,nursery_f10c36b0cac2,江苏省军区第四幼儿园,16.84,0
南京,,poi_18eab91dde95,B0FFGFFYGX,石婆婆庵小区1号院,nursery_f10c36b0cac2,江苏省军区第四幼儿园,6.67,1
南京,,poi_190556193602,B0HU7BWTNO,江北古玩城(明发滨江商业街店),nursery_cfec04f611f1,南京东恒阳光幼儿园,103.11,0
南京,,poi_1913ef91939f,B0LB5D2MWH,马家店幸福城,nursery_14360c712721,唯思顿零三三(南京)保育服务有限公司,41.26,0
南京,,poi_1a8e8897a375,B0L6UZWSRX,紫晶城,nursery_cfec04f611f1,南京东恒阳光幼儿园,350.88,0
南京,,poi_1be5f9b00476,B00190AEJC,香铺营小区,nursery_f10c36b0cac2,江苏省军区第四幼儿园,9.65,1
